team1,team2,toss_winner,toss_decision,venue,winner
Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Wankhede Stadium,Rajasthan Royals
Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Dr DY Patil Sports Academy,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Newlands,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Newlands,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Delhi Capitals,field,Newlands,Delhi Capitals
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Newlands,Sunrisers Hyderabad
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,St George's Park,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kingsmead,Kolkata Knight Riders
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Newlands,Sunrisers Hyderabad
Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Kingsmead,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Newlands,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Kingsmead,Sunrisers Hyderabad
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,St George's Park,Delhi Capitals
Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Newlands,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kingsmead,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,St George's Park,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,SuperSport Park,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kingsmead,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,bat,Kingsmead,Punjab Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,SuperSport Park,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,SuperSport Park,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Buffalo Park,Mumbai Indians
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Kingsmead,Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,St George's Park,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,New Wanderers Stadium,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,St George's Park,Punjab Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,New Wanderers Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Buffalo Park,Chennai Super Kings
